study;ID;ID_study;mean_age_days;age_group;year;published;H_Lab;nationality;scenarios;stimuli;stimuli_2;question;measure;choice_object;xi;ni;s;x1;x2;t
Geraci_Surian_2023;44;1;123;young;2023;yes;no;Europe;fair_unfair;movies;cartoon;No;visual;shapes;;28;;18.09;12.30;2.25
Licht_et_al_2023;45;1;169;young;2023;yes;no;Europe;help_hinder;movies;real;Other;reach;puppets;10;21;;;;
Woo_Spelke_2023a;46;1;452;old;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;reach;puppets;17;22;;;;
Woo_Spelke_2023a;46;2;452;old;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;reach;puppets;19;24;;;;
Woo_Spelke_2023a;46;3;447;old;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;visual;puppets;18;24;0.582;;;2.71
Woo_Spelke_2023a;46;4;447;old;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;visual;puppets;18;24;0.570;;;2.36
Woo_Spelke_2023a;46;5;447;old;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;visual;puppets;20;24;0.584;;;3.43
Woo_Spelke_2023b;47;1;236;young;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;reach;puppets;4;24;;;;
Woo_Spelke_2023b;47;2;452;old;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;reach;puppets;21;24;;;;
Woo_Spelke_2023b;47;3;244;young;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;visual;puppets;13;16;0.583;12.32;8.73;2.62
Woo_Spelke_2023b;47;4;244;young;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;visual;puppets;19;24;0.571;11.49;8.55;2.50
Woo_Spelke_2023b;47;5;450;old;2023;yes;no;North_America;help_hinder;movies;real;Who do you like;visual;puppets;21;24;0.564;12.08;9.37;3.05
Tan_Hamlin_2024;48;1;539;old;2024;yes;yes;North_America;help_hinder;movies;cartoon;Other;visual;shapes;18;42;;11.74;13.34;-2.24
Tan_Hamlin_2024;48;2;539;old;2024;yes;yes;North_America;help_hinder;movies;cartoon;Other;reach;shapes;15;25;;;;
Tan_Hamlin_2024;48;3;715;old;2024;yes;yes;North_America;help_hinder;movies;cartoon;Other;visual;shapes;14;38;;9.81;11.43;1.90
Tan_Hamlin_2024;48;4;715;old;2024;yes;yes;North_America;help_hinder;movies;cartoon;Other;reach;shapes;19;33;;;;
Geraci_et_al_2025;49;1;5;young;2025;yes;yes;Europe;help_hinder;movies;cartoon;No;visual;shapes;14;18;;45.60;30.10;3.73
Geraci_et_al_2025;49;2;5;young;2025;yes;yes;Europe;help_hinder;movies;cartoon;No;visual;shapes;14;18;;45.20;28.2;3.46
Lucca_et_al_2025;50;1;247;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;4;9;;;;
Lucca_et_al_2025;50;2;242;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;5;10;;;;
Lucca_et_al_2025;50;3;284;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;1;5;;;;
Lucca_et_al_2025;50;4;285;young;2025;yes;yes;Asia;help_hinder;movies;real;Who do you like;reach;shapes;5;12;;;;
Lucca_et_al_2025;50;5;233;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;3;8;;;;
Lucca_et_al_2025;50;6;270;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;7;11;;;;
Lucca_et_al_2025;50;7;247;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;3;4;;;;
Lucca_et_al_2025;50;8;242;young;2025;yes;yes;Oceania;help_hinder;movies;real;Who do you like;reach;shapes;4;8;;;;
Lucca_et_al_2025;50;9;225;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;9;20;;;;
Lucca_et_al_2025;50;10;273;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;2;10;;;;
Lucca_et_al_2025;50;11;231;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;5;14;;;;
Lucca_et_al_2025;50;12;219;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;3;8;;;;
Lucca_et_al_2025;50;13;253;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;11;17;;;;
Lucca_et_al_2025;50;14;243;young;2025;yes;yes;NA;help_hinder;movies;real;Who do you like;reach;shapes;6;10;;;;
