study,ID,ID_study,ppt_grp,mean_age_days,age_group,year,published,H_Lab,H_Lab_narrow,nationality,scenarios,stimuli,stimuli_2,question,measure,choice_object,xi,ni,s,x1,x2,t
Sitch_unpub,59,1,Main,239,young,2018,no,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,68,115,,,,
Beaulieu_Dunfield_unpub,60,1,Expt 1,791,old,2020,no,no,no,North_America,help_hinder,live_show,real,No,help,experimenters,14,19,,,,
Beaulieu_Dunfield_unpub,60,2,Expt 2,981,old,2020,no,no,no,North_America,help_hinder,live_show,real,No,help,experimenters,8,11,,,,
Yuen_Hamlin_unpub,61,1,Hill_TrackBaby,316,young,2021,no,yes,yes,North_America,help_hinder,movies,cartoon,Who do you like,visual,shapes,18,34,0.538,,,
Yuen_Hamlin_unpub,61,2,Hill_ZoomBaby 2,263,young,2021,no,yes,yes,North_America,help_hinder,movies,cartoon,Who do you like,visual,shapes,19,32,0.508,,,
Yuen_Hamlin_unpub,61,3,Hill_ZoomBaby 3,306,young,2021,no,yes,yes,North_America,help_hinder,movies,cartoon,Who do you like,visual,shapes,14,32,0.475,,,
Yuen_et_al_unpub,62,1,FairPlay_17,512,old,2023,no,yes,yes,North_America,fair_unfair,movies,real,No,reach,experimenters,18,31,,,,
Woo_et_al_unpub,63,1,Expt 1,357,young,2024,no,yes,yes,North_America,give_take,movies,real,Who do you like,visual,puppets,22,24,,10.06,6.58,5.15
Hamlin_2025_unpub,64,1,Longitudinal,108,young,2025,no,yes,yes,North_America,help_hinder,live_show,cartoon,No,visual,shapes,209,442,,,,
Hamlin_2025_unpub,64,2,Longitudinal,176,young,2025,no,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,170,355,,,,
Hamlin_2025_unpub,64,3,Longitudinal,302,young,2025,no,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,176,353,,,,
Hamlin_2025_unpub,64,4,Longitudinal,731,old,2025,no,yes,yes,North_America,help_hinder,live_show,real,Other,help,puppets,107,214,,,,
